id,year,numbers,Datum,number-1,number-2,number-3,number-4,number-5,euro-number-1,euro-number-2,Spieleinsatz,Anz. Kl. 1,Quote Kl. 1,Anz. Kl. 2,Quote Kl. 2,Anz. Kl. 3,Quote Kl. 3,Anz. Kl. 4,Quote Kl. 4,Anz. Kl. 5,Quote Kl. 5,Anz. Kl. 6,Quote Kl. 6,Anz. Kl. 7,Quote Kl. 7,Anz. Kl. 8,Quote Kl. 8,Anz. Kl. 9,Quote Kl. 9,Anz. Kl. 10,Quote Kl. 10,Anz. Kl. 11,Quote Kl. 11,Anz. Kl. 12,Quote Kl. 12
ebe54b1d6590a01b751599e8861f5567,2021,15-26-35-37-43:3:8,28.05.2021,15,37,43,35,26,8,3,"84.793.944,00",1,"90.000.000,00",5,"2.724.741,30",12,"105.992,40",122,"3.475,10",1.683,"226,70",2.770,"107,10",5.696,"44,60",78.864,"16,90",73.269,"16,90",118.711,"15,30",421.082,"7,90",1.010.700,"7,90"
e7f23e56df784434c44d50dc491661a6,2021,13-17-26-49-50:1:7,04.06.2021,49,26,13,50,17,7,1,"43.990.584,00",Jackpot,"13.122.105,42",5,"373.919,90",5,"131.971,70",45,"4.887,80",825,"239,90",1.250,"123,10",2.328,"56,60",33.537,"20,30",35.584,"18,50",60.343,"15,60",172.640,"9,90",530.469,"7,90"
c6458d33d28f32e8384993e062c34786,2021,8-20-23-48-50:8:9,11.06.2021,23,8,20,50,48,8,9,"46.408.236,00",Jackpot,"24.139.311,48",2,"986.175,00",3,"232.041,10",37,"6.271,30",742,"281,40",1.304,"124,50",1.758,"79,10",27.518,"26,10",35.911,"19,30",58.975,"16,90",143.236,"12,60",542.977,"8,10"
492847af438087cff21449f0acb70e0c,2021,11-14-44-46-49:7:10,18.06.2021,44,49,14,46,11,10,7,"48.985.864,00",Jackpot,"35.785.819,62",5,"416.379,80",6,"122.464,60",42,"5.831,60",760,"290,00",1.319,"129,90",1.905,"77,10",29.064,"26,10",34.108,"21,50",62.273,"16,90",154.507,"12,30",543.617,"8,60"
52223df849a0fc9871be179d9d3d8334,2021,4-17-22-30-47:1:8,25.06.2021,30,4,22,47,17,1,8,"52.521.198,00",1,"48.195.035,90",7,"318.878,70",15,"52.521,10",64,"4.103,20",1.044,"226,30",2.120,"86,70",2.521,"62,50",35.348,"23,00",43.186,"18,20",82.059,"13,70",186.832,"10,90",607.012,"8,20"
a759e31178b55c0f17fbd5d071edec9f,2021,4-5-10-25-31:4:6,02.07.2021,25,10,5,31,4,4,6,"42.095.108,00",Jackpot,"10.786.542,24",4,"447.260,50",8,"78.928,30",61,"3.450,40",1.037,"182,60",1.778,"82,80",2.816,"44,80",36.971,"17,60",41.217,"15,30",72.688,"12,40",185.205,"8,80",526.729,"7,60"
cdc614137c715283015fa2e9cb7e030c,2021,8-14-15-20-31:8:9,09.07.2021,31,8,14,15,20,9,8,"44.730.564,00",Jackpot,"21.399.218,82",7,"271.578,40",4,"167.739,60",38,"5.885,60",805,"250,00",1.403,"111,50",1.848,"72,60",26.974,"25,70",37.454,"17,90",62.788,"15,30",141.628,"12,30",541.485,"7,80"
c78c52cf8d89943af21b0ca1dbdc9245,2021,9-14-24-37-39:4:9,16.07.2021,14,9,39,37,24,4,9,"47.659.440,00",Jackpot,"32.714.267,00",3,"675.175,40",8,"89.361,40",78,"3.055,00",941,"227,90",1.714,"97,30",2.972,"48,10",39.694,"18,60",41.963,"17,00",70.575,"14,50",197.634,"9,40",589.414,"7,70"
6601c667a284d14b7ed7c61eb9745d0a,2021,13-33-42-48-50:3:9,23.07.2021,13,48,42,33,50,3,9,"50.949.986,00",Jackpot,"44.762.134,28",4,"541.343,60",5,"152.849,90",73,"3.489,70",896,"255,80",1.471,"121,20",2.982,"51,20",42.847,"18,40",41.531,"18,40",69.243,"15,80",220.694,"9,00",593.819,"8,10"
37ed6f1f8579e888bed39378d36e79b8,2021,5-14-39-43-44:1:6,30.07.2021,5,43,14,44,39,6,1,"57.647.396,00",Jackpot,"58.255.354,18",6,"408.335,70",5,"172.942,10",36,"8.006,50",815,"318,20",1.588,"127,00",2.337,"74,00",35.931,"24,80",38.954,"22,10",76.914,"16,10",200.103,"11,20",604.323,"9,10"
936f7473bbbf96aac9a4b4176a679265,2021,16-19-21-29-36:1:7,06.08.2021,21,16,29,19,36,7,1,"66.626.190,00",Jackpot,"73.727.548,90",9,"314.623,60",8,"124.924,10",62,"5.373,00",1.345,"222,90",2.397,"97,20",3.394,"58,80",48.638,"21,20",58.260,"17,10",105.545,"13,50",254.802,"10,10",819.050,"7,70"
223a5a4113475fd33b999d118ca26ad1,2021,4-31-39-43-46:1:4,13.08.2021,46,31,39,4,43,4,1,"84.823.692,00",2,"45.000.000,00",8,"836.537,40",11,"115.668,60",99,"4.284,00",1.179,"323,70",2.249,"132,00",3.494,"72,80",50.326,"26,10",59.345,"21,40",106.423,"17,10",280.079,"11,80",901.082,"8,90"
ab2b38c3d758e1ce45ff70d953f20b1e,2021,8-31-34-36-45:8:10,20.08.2021,34,8,36,31,45,10,8,"44.082.262,00",Jackpot,"13.116.151,06",4,"468.374,00",7,"94.461,90",29,"7.600,30",631,"314,30",1.202,"128,30",1.636,"80,80",24.342,"28,00",29.872,"22,10",55.553,"17,00",133.439,"12,80",466.555,"9,00"
e02c2ffec878a986e819118de207626c,2021,19-20-22-25-42:4:6,27.08.2021,42,22,19,20,25,6,4,"47.023.012,00",Jackpot,"24.253.587,96",2,"999.239,00",5,"141.069,00",50,"4.702,30",754,"280,60",1.254,"131,20",2.482,"56,80",38.232,"19,20",36.132,"19,20",63.120,"16,00",206.501,"8,80",550.999,"8,10"
4556d43335e43995df213f569d1ff310,2021,5-9-20-44-48:4:10,03.09.2021,5,9,20,44,48,4,10,"50.952.736,00",Jackpot,"36.298.421,98",6,"360.915,20",9,"84.921,20",48,"5.307,50",728,"314,90",1.463,"121,80",2.018,"75,70",30.069,"26,20",36.147,"21,10",71.081,"15,40",160.581,"12,30",554.823,"8,70"
5cf04ad3e6a253ad130366c38c68d96b,2021,2-14-18-23-42:5:10,10.09.2021,42,14,18,2,23,10,5,"55.087.754,00",1,"49.327.084,70",2,"1.170.614,70",9,"91.812,90",46,"5.987,70",995,"249,10",1.828,"105,40",2.486,"66,40",35.448,"24,00",43.181,"19,10",87.122,"13,50",186.003,"11,50",627.309,"8,30"
eb3cdbb5195115d46fef4b7e78e07de8,2021,14-17-20-27-32:3:7,17.09.2021,20,27,17,14,32,7,3,"43.427.156,00",Jackpot,"11.199.038,28",3,"615.218,00",7,"93.058,10",92,"2.360,10",869,"224,80",1.351,"112,50",3.981,"32,70",57.000,"14,10",40.396,"14,10",62.135,"14,10",285.185,"6,80",571.548,"6,80"
81b59aacf91aaae4e704ebfc9a50d718,2021,12-22-35-38-49:5:10,24.09.2021,38,49,22,12,35,10,5,"46.340.286,00",1,"22.170.100,80",4,"492.365,50",11,"63.191,20",52,"4.455,70",956,"218,10",1.885,"86,00",2.181,"63,70",30.236,"23,70",38.538,"18,00",77.147,"12,90",157.413,"11,40",529.919,"8,30"
